donation_id,donor_id,campaign_id,donation_date,amount,payment_method,is_recurring,status,channel,fiscal_year,quarter,month,year
DON000055,D01226,C016,2022-06-18,120.0,Bank Transfer,0,Completed,Telephone,FY2021,Q2,June,2022
DON000056,D01479,C016,2022-05-11,270.0,Credit Card,0,Completed,Telephone,FY2021,Q2,May,2022
DON000057,D00307,C011,2024-05-23,35200.0,Credit Card,1,Completed,Direct Mail,FY2023,Q2,May,2024
DON000058,D00260,C013,2021-08-07,79.2,Credit Card,0,Completed,Telephone,FY2021,Q3,August,2021
DON000059,D00409,C017,2024-06-27,109.5,Direct Debit,1,Failed,Online,FY2023,Q2,June,2024
DON000060,D01266,C017,2024-05-28,2440.0,Direct Debit,0,Completed,Online,FY2023,Q2,May,2024
DON000061,D00003,C024,2020-10-20,938.0,Direct Debit,0,Completed,Telephone,FY2020,Q4,October,2020
DON000062,D00829,C014,2022-03-13,32500.0,Direct Debit,0,Completed,Corporate,FY2021,Q1,March,2022
DON000063,D01876,C030,2024-10-20,115.2,Credit Card,0,Completed,Online,FY2024,Q4,October,2024
DON000064,D00389,C008,2022-10-24,118.8,PayPal,0,Failed,Event,FY2022,Q4,October,2022
DON000065,D00934,C024,2020-09-26,126600.0,Credit Card,0,Completed,Telephone,FY2020,Q3,September,2020
DON000066,D00317,C020,2021-02-05,536.0,PayPal,0,Completed,Direct Mail,FY2020,Q1,February,2021
DON000067,D00505,C007,2020-06-15,111.3,PayPal,0,Completed,Direct Mail,FY2019,Q2,June,2020
DON000068,D00118,C004,2021-03-26,2580.0,PayPal,1,Completed,Email,FY2020,Q1,March,2021
DON000069,D00356,C011,2024-05-29,349.0,Direct Debit,1,Completed,Direct Mail,FY2023,Q2,May,2024
DON000070,D01763,C025,2024-03-08,3435.0,Credit Card,0,Completed,Direct Mail,FY2023,Q1,March,2024
DON000071,D01650,C027,2022-06-14,703.0,Direct Debit,0,Completed,Email,FY2021,Q2,June,2022
DON000072,D01610,C026,2022-12-10,243.0,Credit Card,0,Completed,Telephone,FY2022,Q4,December,2022
DON000073,D01555,C021,2023-10-04,171.6,Credit Card,0,Completed,Email,FY2023,Q4,October,2023
DON000074,D00033,C014,2022-06-28,110.2,Credit Card,0,Completed,Corporate,FY2021,Q2,June,2022
DON000075,D00339,C001,2021-11-28,254.4,Direct Debit,0,Completed,Peer-to-Peer,FY2021,Q4,November,2021
DON000076,D01758,C001,2021-11-14,2990.0,Direct Debit,0,Completed,Peer-to-Peer,FY2021,Q4,November,2021
DON000077,D01593,C025,2024-03-06,13340.0,Direct Debit,0,Completed,Direct Mail,FY2023,Q1,March,2024
DON000078,D00969,C024,2020-11-11,41.0,PayPal,0,Completed,Telephone,FY2020,Q4,November,2020
DON000079,D01532,C022,2023-10-30,753.0,Direct Debit,0,Completed,Recurring,FY2023,Q4,October,2023
DON000080,D00793,C015,2024-07-10,76.65,PayPal,0,Completed,Corporate,FY2024,Q3,July,2024
DON000081,D00230,C014,2022-04-28,2155.0,Cheque,0,Completed,Corporate,FY2021,Q2,April,2022
DON000082,D01695,C010,2021-04-21,27850.0,Credit Card,1,Completed,Direct Mail,FY2020,Q2,April,2021
DON000083,D00170,C001,2021-12-03,63.4,Credit Card,0,Completed,Peer-to-Peer,FY2021,Q4,December,2021
DON000084,D01597,C021,2023-09-29,34.3,Direct Debit,0,Completed,Email,FY2023,Q3,September,2023
DON000085,D01349,C006,2020-10-07,43.4,Bank Transfer,0,Completed,Social Media,FY2020,Q4,October,2020
DON000086,D00575,C024,2020-09-09,242.8,Credit Card,0,Completed,Telephone,FY2020,Q3,September,2020
DON000087,D00831,C020,2021-02-14,1700.0,PayPal,1,Completed,Direct Mail,FY2020,Q1,February,2021
DON000088,D00438,C023,2023-07-19,72.0,Credit Card,1,Completed,Event,FY2023,Q3,July,2023
DON000089,D01810,C009,2020-07-11,160.0,PayPal,0,Completed,Social Media,FY2020,Q3,July,2020
DON000090,D00969,C008,2022-11-06,820.0,Credit Card,0,Completed,Event,FY2022,Q4,November,2022
DON000091,D01893,C023,2023-07-18,98.0,PayPal,0,Completed,Event,FY2023,Q3,July,2023
DON000092,D00708,C016,2022-06-01,48.0,Cheque,0,Completed,Telephone,FY2021,Q2,June,2022
DON000093,D00056,C022,2023-10-17,19500.0,Cheque,0,Completed,Recurring,FY2023,Q4,October,2023
DON000094,D01350,C027,2022-05-01,90.0,Credit Card,1,Completed,Email,FY2021,Q2,May,2022
DON000095,D01831,C015,2024-06-25,37.5,PayPal,0,Refunded,Corporate,FY2023,Q2,June,2024
DON000096,D01118,C004,2021-03-01,108.2,Cheque,1,Completed,Email,FY2020,Q1,March,2021
DON000097,D01340,C018,2021-04-10,33700.0,Bank Transfer,1,Completed,Online,FY2020,Q2,April,2021
DON000098,D00148,C030,2024-11-26,117.3,Credit Card,0,Completed,Online,FY2024,Q4,November,2024
DON000099,D01016,C028,2024-08-08,564.0,Bank Transfer,0,Completed,Direct Mail,FY2024,Q3,August,2024
DON000100,D00645,C011,2024-05-28,75.0,Credit Card,0,Completed,Direct Mail,FY2023,Q2,May,2024
DON000101,D00561,C002,2024-06-07,10.0,PayPal,0,Completed,Recurring,FY2023,Q2,June,2024
DON000102,D01624,C006,2020-09-23,2660.0,Bank Transfer,0,Completed,Social Media,FY2020,Q3,September,2020
DON000103,D01281,C030,2024-12-01,60600.0,Bank Transfer,0,Completed,Online,FY2024,Q4,December,2024
DON000104,D01274,C007,2020-06-10,1384.0,Direct Debit,0,Completed,Direct Mail,FY2019,Q2,June,2020
DON000105,D00861,C005,2023-02-15,65200.0,Direct Debit,0,Completed,Corporate,FY2022,Q1,February,2023
DON000106,D00964,C027,2022-05-12,157.2,Direct Debit,0,Completed,Email,FY2021,Q2,May,2022
DON000107,D01847,C030,2024-10-08,26.95,Bank Transfer,0,Completed,Online,FY2024,Q4,October,2024
DON000108,D01095,C027,2022-05-12,24750.0,Bank Transfer,0,Completed,Email,FY2021,Q2,May,2022
DON000109,D01012,C027,2022-05-16,297500.0,Credit Card,0,Completed,Email,FY2021,Q2,May,2022
DON000110,D01871,C025,2024-02-28,177.6,Credit Card,0,Completed,Direct Mail,FY2023,Q1,February,2024
DON000111,D01558,C006,2020-09-28,140000.0,Credit Card,0,Completed,Social Media,FY2020,Q3,September,2020
DON000112,D00401,C008,2022-09-11,36.8,Direct Debit,0,Completed,Event,FY2022,Q3,September,2022
DON000113,D00870,C009,2020-06-24,111.2,PayPal,0,Completed,Social Media,FY2019,Q2,June,2020
DON000114,D01370,C011,2024-05-25,3940.0,Bank Transfer,1,Completed,Direct Mail,FY2023,Q2,May,2024
DON000115,D01685,C005,2023-02-11,7950.0,Direct Debit,0,Completed,Corporate,FY2022,Q1,February,2023
DON000116,D00687,C003,2022-09-28,223500.0,PayPal,1,Completed,Telephone,FY2022,Q3,September,2022
DON000117,D00818,C001,2021-11-18,41.25,Cash,1,Completed,Peer-to-Peer,FY2021,Q4,November,2021
DON000118,D00718,C022,2023-11-27,164.4,Credit Card,0,Completed,Recurring,FY2023,Q4,November,2023
DON000119,D01655,C002,2024-08-11,116.0,Credit Card,0,Completed,Recurring,FY2024,Q3,August,2024
DON000120,D00773,C017,2024-07-01,21.4,Direct Debit,0,Completed,Online,FY2024,Q3,July,2024
DON000121,D00794,C025,2024-04-07,20.9,Cheque,1,Completed,Direct Mail,FY2023,Q2,April,2024
DON000122,D01534,C001,2021-11-17,9720.0,Credit Card,0,Completed,Peer-to-Peer,FY2021,Q4,November,2021
DON000123,D01208,C004,2021-05-03,13100.0,Direct Debit,0,Completed,Email,FY2020,Q2,May,2021
DON000124,D00119,C006,2020-09-13,142.0,Credit Card,0,Completed,Social Media,FY2020,Q3,September,2020
DON000125,D00833,C025,2024-03-03,118.8,Bank Transfer,0,Completed,Direct Mail,FY2023,Q1,March,2024
DON000126,D00959,C011,2024-06-20,89200.0,Credit Card,0,Completed,Direct Mail,FY2023,Q2,June,2024
DON000127,D00995,C022,2023-11-17,7920.0,PayPal,0,Completed,Recurring,FY2023,Q4,November,2023
DON000128,D00667,C027,2022-06-01,284.0,Direct Debit,0,Completed,Email,FY2021,Q2,June,2022
DON000129,D00159,C009,2020-06-19,10600.0,Bank Transfer,1,Completed,Social Media,FY2019,Q2,June,2020
DON000130,D01106,C008,2022-12-16,94.8,Credit Card,1,Completed,Event,FY2022,Q4,December,2022
DON000131,D01897,C019,2020-07-22,85.95,PayPal,1,Completed,Peer-to-Peer,FY2020,Q3,July,2020
DON000132,D00382,C024,2020-10-08,4240.0,Cash,1,Completed,Telephone,FY2020,Q4,October,2020
DON000133,D01929,C018,2021-04-02,245.2,PayPal,0,Completed,Online,FY2020,Q2,April,2021
DON000134,D01587,C010,2021-03-05,149000.0,Credit Card,0,Completed,Direct Mail,FY2020,Q1,March,2021
DON000135,D01676,C014,2022-05-21,52000.0,Direct Debit,0,Completed,Corporate,FY2021,Q2,May,2022
DON000136,D00520,C023,2023-07-28,71100.0,Credit Card,1,Completed,Event,FY2023,Q3,July,2023
DON000137,D00863,C025,2024-03-27,97.8,Bank Transfer,0,Completed,Direct Mail,FY2023,Q1,March,2024
DON000138,D00341,C024,2020-08-25,8220.0,Direct Debit,0,Completed,Telephone,FY2020,Q3,August,2020
DON000139,D01613,C030,2024-10-11,132.75,Bank Transfer,1,Completed,Online,FY2024,Q4,October,2024
DON000140,D00818,C017,2024-05-19,55.0,Credit Card,1,Completed,Online,FY2023,Q2,May,2024
DON000141,D01992,C008,2022-11-09,1034.0,Bank Transfer,0,Completed,Event,FY2022,Q4,November,2022
DON000142,D01560,C011,2024-06-25,150.0,Credit Card,0,Completed,Direct Mail,FY2023,Q2,June,2024
DON000143,D00050,C013,2021-10-03,147.2,Direct Debit,0,Completed,Telephone,FY2021,Q4,October,2021
DON000144,D01773,C010,2021-04-13,26400.0,Direct Debit,0,Completed,Direct Mail,FY2020,Q2,April,2021
DON000145,D00297,C004,2021-04-21,29500.0,Bank Transfer,0,Completed,Email,FY2020,Q2,April,2021
DON000146,D00990,C007,2020-05-07,96.15,Direct Debit,0,Completed,Direct Mail,FY2019,Q2,May,2020
DON000147,D01479,C018,2021-04-09,162.0,Credit Card,0,Completed,Online,FY2020,Q2,April,2021
DON000148,D00470,C012,2022-12-12,33.5,Credit Card,0,Completed,Peer-to-Peer,FY2022,Q4,December,2022
DON000149,D01944,C018,2021-05-25,72800.0,PayPal,1,Completed,Online,FY2020,Q2,May,2021
DON000150,D00552,C014,2022-05-04,101600.0,Bank Transfer,0,Completed,Corporate,FY2021,Q2,May,2022
DON000151,D01403,C013,2021-07-07,470.0,Credit Card,0,Completed,Telephone,FY2021,Q3,July,2021
DON000152,D00959,C024,2020-08-25,8920.0,Direct Debit,0,Completed,Telephone,FY2020,Q3,August,2020
DON000153,D01819,C004,2021-05-20,66200.0,Credit Card,0,Completed,Email,FY2020,Q2,May,2021
DON000154,D01702,C014,2022-08-02,74.6,Cheque,0,Completed,Corporate,FY2022,Q3,August,2022
DON000155,D00316,C008,2022-12-08,34800.0,Direct Debit,0,Completed,Event,FY2022,Q4,December,2022
DON000156,D01559,C004,2021-02-17,73200.0,Credit Card,0,Completed,Email,FY2020,Q1,February,2021
DON000157,D01250,C008,2022-10-11,47400.0,Credit Card,1,Completed,Event,FY2022,Q4,October,2022
DON000158,D00944,C007,2020-06-17,215.6,Bank Transfer,0,Completed,Direct Mail,FY2019,Q2,June,2020
DON000159,D01410,C004,2021-03-14,298500.0,Cheque,0,Refunded,Email,FY2020,Q1,March,2021
DON000160,D00205,C015,2024-08-10,13200.0,Bank Transfer,0,Completed,Corporate,FY2024,Q3,August,2024
DON000161,D01245,C007,2020-06-18,108.4,PayPal,0,Completed,Direct Mail,FY2019,Q2,June,2020
DON000162,D01874,C025,2024-02-25,60000.0,Credit Card,0,Failed,Direct Mail,FY2023,Q1,February,2024
DON000163,D01299,C010,2021-03-04,278.0,Direct Debit,0,Completed,Direct Mail,FY2020,Q1,March,2021
DON000164,D01226,C022,2023-11-09,24.0,Direct Debit,0,Completed,Recurring,FY2023,Q4,November,2023
DON000165,D01631,C025,2024-03-16,706.0,Cheque,0,Completed,Direct Mail,FY2023,Q1,March,2024
DON000166,D01106,C001,2021-10-31,23.7,Cash,1,Completed,Peer-to-Peer,FY2021,Q4,October,2021
DON000167,D00586,C025,2024-02-29,58.8,Bank Transfer,0,Completed,Direct Mail,FY2023,Q1,February,2024
DON000168,D01531,C005,2023-01-16,76.5,PayPal,0,Completed,Corporate,FY2022,Q1,January,2023
DON000169,D01273,C029,2023-10-11,16.95,Credit Card,1,Completed,Peer-to-Peer,FY2023,Q4,October,2023
DON000170,D01711,C026,2022-10-26,24.25,Cash,1,Completed,Telephone,FY2022,Q4,October,2022
DON000171,D00408,C027,2022-06-20,85.4,Cheque,0,Failed,Email,FY2021,Q2,June,2022
DON000172,D01399,C002,2024-09-12,100.0,Credit Card,0,Completed,Recurring,FY2024,Q3,September,2024
DON000173,D00108,C014,2022-04-25,41.8,PayPal,0,Completed,Corporate,FY2021,Q2,April,2022
DON000174,D00646,C002,2024-08-05,1470.0,Direct Debit,0,Failed,Recurring,FY2024,Q3,August,2024
DON000175,D01826,C020,2020-09-21,26.9,Bank Transfer,0,Refunded,Direct Mail,FY2020,Q3,September,2020
DON000176,D00896,C027,2022-04-23,193000.0,Cheque,0,Completed,Email,FY2021,Q2,April,2022
DON000177,D01176,C018,2021-04-17,36.0,Bank Transfer,0,Refunded,Online,FY2020,Q2,April,2021
DON000178,D00993,C001,2021-10-28,81.3,Credit Card,0,Completed,Peer-to-Peer,FY2021,Q4,October,2021
DON000179,D00646,C021,2023-10-03,3675.0,Direct Debit,0,Completed,Email,FY2023,Q4,October,2023
DON000180,D01159,C010,2021-05-09,3140.0,Bank Transfer,0,Completed,Direct Mail,FY2020,Q2,May,2021
DON000181,D00659,C030,2024-11-18,780.0,Credit Card,0,Completed,Online,FY2024,Q4,November,2024
DON000182,D01299,C020,2020-10-04,13.9,Cash,0,Completed,Direct Mail,FY2020,Q4,October,2020
DON000183,D00082,C008,2022-09-16,68800.0,Credit Card,0,Completed,Event,FY2022,Q3,September,2022
DON000184,D01599,C030,2024-10-29,478.0,Direct Debit,1,Failed,Online,FY2024,Q4,October,2024
DON000185,D00661,C008,2022-10-03,2745.0,Credit Card,0,Completed,Event,FY2022,Q4,October,2022
DON000186,D00004,C020,2021-01-01,25.5,Direct Debit,0,Completed,Direct Mail,FY2020,Q1,January,2021
DON000187,D00432,C017,2024-07-11,309.0,Credit Card,1,Completed,Online,FY2024,Q3,July,2024
DON000188,D00260,C026,2022-12-14,79.2,Credit Card,0,Completed,Telephone,FY2022,Q4,December,2022
DON000189,D00959,C005,2023-02-14,22300.0,Direct Debit,0,Completed,Corporate,FY2022,Q1,February,2023
DON000190,D01983,C025,2024-03-05,1510.0,Bank Transfer,0,Completed,Direct Mail,FY2023,Q1,March,2024
DON000191,D00839,C024,2020-08-29,104200.0,Cheque,0,Completed,Telephone,FY2020,Q3,August,2020
DON000192,D01232,C029,2023-06-25,10.0,Credit Card,1,Completed,Peer-to-Peer,FY2022,Q2,June,2023
DON000193,D01096,C027,2022-05-28,88.8,Credit Card,0,Completed,Email,FY2021,Q2,May,2022
DON000194,D01571,C007,2020-06-19,5430.0,Bank Transfer,1,Completed,Direct Mail,FY2019,Q2,June,2020
DON000195,D00645,C025,2024-02-25,75.0,PayPal,0,Completed,Direct Mail,FY2023,Q1,February,2024
DON000196,D00382,C023,2023-07-26,21200.0,Bank Transfer,0,Completed,Event,FY2023,Q3,July,2023
DON000197,D01007,C007,2020-06-13,33400.0,Cheque,0,Completed,Direct Mail,FY2019,Q2,June,2020
DON000198,D01196,C003,2022-06-12,229500.0,Credit Card,0,Completed,Telephone,FY2021,Q2,June,2022
DON000199,D00661,C004,2021-04-29,549.0,Direct Debit,1,Completed,Email,FY2020,Q2,April,2021
DON000200,D01758,C007,2020-03-11,598.0,Bank Transfer,0,Completed,Direct Mail,FY2019,Q1,March,2020
DON000201,D01033,C030,2024-10-29,143000.0,PayPal,0,Completed,Online,FY2024,Q4,October,2024
DON000202,D01210,C013,2021-09-25,114.0,Cheque,0,Completed,Telephone,FY2021,Q3,September,2021
DON000203,D00374,C006,2020-08-24,123200.0,Credit Card,0,Completed,Social Media,FY2020,Q3,August,2020
DON000204,D01991,C016,2022-06-14,73.05,Cheque,0,Completed,Telephone,FY2021,Q2,June,2022
DON000205,D01749,C002,2024-05-20,326.0,Credit Card,0,Completed,Recurring,FY2023,Q2,May,2024
DON000206,D01970,C017,2024-07-05,20250.0,Bank Transfer,1,Failed,Online,FY2024,Q3,July,2024
DON000207,D00089,C003,2022-06-12,150.6,Cheque,1,Completed,Telephone,FY2021,Q2,June,2022
DON000208,D00338,C018,2021-04-21,188.8,Credit Card,0,Completed,Online,FY2020,Q2,April,2021
DON000209,D00918,C027,2022-06-13,159.6,PayPal,0,Completed,Email,FY2021,Q2,June,2022
DON000210,D01539,C014,2022-07-08,25.95,Bank Transfer,0,Completed,Corporate,FY2022,Q3,July,2022
DON000211,D01675,C021,2023-10-02,16900.0,Direct Debit,0,Completed,Email,FY2023,Q4,October,2023
DON000212,D00210,C007,2020-04-05,9940.0,Credit Card,0,Completed,Direct Mail,FY2019,Q2,April,2020
DON000213,D00321,C026,2022-10-10,294.0,Credit Card,1,Completed,Telephone,FY2022,Q4,October,2022
DON000214,D00095,C014,2022-03-09,375.5,Bank Transfer,0,Completed,Corporate,FY2021,Q1,March,2022
DON000215,D00780,C028,2024-10-07,15400.0,Direct Debit,0,Completed,Direct Mail,FY2024,Q4,October,2024
DON000216,D01479,C024,2020-10-23,27.0,Credit Card,0,Completed,Telephone,FY2020,Q4,October,2020
DON000217,D00188,C005,2022-12-27,299.0,Credit Card,1,Completed,Corporate,FY2022,Q4,December,2022
DON000218,D01400,C024,2020-09-16,6890.0,Direct Debit,0,Completed,Telephone,FY2020,Q3,September,2020
DON000219,D00317,C027,2022-07-01,214.4,Cash,0,Completed,Email,FY2022,Q3,July,2022
DON000220,D00679,C011,2024-05-19,2615.0,Bank Transfer,0,Failed,Direct Mail,FY2023,Q2,May,2024
DON000221,D01701,C004,2021-05-25,9360.0,Credit Card,0,Completed,Email,FY2020,Q2,May,2021
DON000222,D01533,C005,2022-12-12,195.2,Credit Card,0,Completed,Corporate,FY2022,Q4,December,2022
DON000223,D01289,C024,2020-09-28,100.2,Direct Debit,0,Completed,Telephone,FY2020,Q3,September,2020
DON000224,D01880,C018,2021-06-02,105.2,Direct Debit,0,Completed,Online,FY2020,Q2,June,2021
DON000225,D01943,C026,2022-11-22,33.2,Credit Card,0,Completed,Telephone,FY2022,Q4,November,2022
DON000226,D01214,C013,2021-08-19,1746.0,Credit Card,1,Failed,Telephone,FY2021,Q3,August,2021
DON000227,D00883,C017,2024-06-25,5380.0,Credit Card,1,Completed,Online,FY2023,Q2,June,2024
DON000228,D00419,C014,2022-03-26,27.15,Cash,0,Completed,Corporate,FY2021,Q1,March,2022
DON000229,D00169,C019,2020-08-15,409.0,Direct Debit,1,Completed,Peer-to-Peer,FY2020,Q3,August,2020
DON000230,D01910,C024,2020-11-07,145.8,Cheque,0,Completed,Telephone,FY2020,Q4,November,2020
DON000231,D01542,C004,2021-01-19,29.0,Credit Card,0,Completed,Email,FY2020,Q1,January,2021
DON000232,D00980,C014,2022-07-15,19300.0,Direct Debit,1,Completed,Corporate,FY2022,Q3,July,2022
DON000233,D01818,C011,2024-05-24,48.3,Cash,0,Completed,Direct Mail,FY2023,Q2,May,2024
DON000234,D01645,C018,2021-06-15,55.65,Bank Transfer,0,Completed,Online,FY2020,Q2,June,2021
DON000235,D00116,C002,2024-10-09,94.0,Bank Transfer,0,Failed,Recurring,FY2024,Q4,October,2024
DON000236,D00296,C009,2020-06-28,26450.0,Direct Debit,0,Completed,Social Media,FY2019,Q2,June,2020
DON000237,D00067,C023,2023-07-24,11520.0,PayPal,0,Failed,Event,FY2023,Q3,July,2023
DON000238,D00262,C009,2020-07-19,4060.0,Credit Card,0,Completed,Social Media,FY2020,Q3,July,2020
DON000239,D01939,C014,2022-04-29,227.1,Credit Card,1,Completed,Corporate,FY2021,Q2,April,2022
DON000240,D01184,C013,2021-10-28,123600.0,Cheque,0,Completed,Telephone,FY2021,Q4,October,2021
DON000241,D01311,C027,2022-06-06,147.0,Cheque,1,Completed,Email,FY2021,Q2,June,2022
DON000242,D01349,C005,2022-12-02,86.8,Direct Debit,1,Completed,Corporate,FY2022,Q4,December,2022
DON000243,D01208,C002,2024-06-27,2620.0,Direct Debit,0,Completed,Recurring,FY2023,Q2,June,2024
DON000244,D01960,C015,2024-05-29,44.9,Direct Debit,0,Completed,Corporate,FY2023,Q2,May,2024
DON000245,D01626,C001,2021-10-31,2740.0,Credit Card,1,Completed,Peer-to-Peer,FY2021,Q4,October,2021
DON000246,D01873,C019,2020-08-26,168.6,Credit Card,1,Completed,Peer-to-Peer,FY2020,Q3,August,2020
DON000247,D00267,C022,2023-11-25,58600.0,Direct Debit,0,Failed,Recurring,FY2023,Q4,November,2023
DON000248,D00573,C015,2024-06-25,1400.0,Cheque,0,Failed,Corporate,FY2023,Q2,June,2024
DON000249,D00578,C010,2021-03-30,19800.0,Direct Debit,0,Completed,Direct Mail,FY2020,Q1,March,2021
DON000250,D01523,C021,2023-09-18,5330.0,Credit Card,0,Completed,Email,FY2023,Q3,September,2023
DON000251,D00098,C020,2020-10-01,158.1,PayPal,0,Completed,Direct Mail,FY2020,Q4,October,2020
DON000252,D00742,C005,2023-01-13,3405.0,Direct Debit,0,Completed,Corporate,FY2022,Q1,January,2023
